collection_id,priority,Total running time(min),Pause time(min)
300543077456,2,2880,2019.2
299996111841,5,2880,649
298867645323,2,2880,2025.8
298311908301,2,2880,2160
286904951031,2,2880,2031.32
286898147618,2,2880,1765.92
286893948098,1,2880,1688
286860850513,1,2880,2072
286707440750,1,2880,1932
286501394514,9,2880,91.4
285756932049,3,2880,2320
285651484130,9,2880,50.4
285606169490,2,2880,2119.6
284994285376,2,2880,2040.4
279253711324,2,2880,1889.2
276205682817,5,2880,569.68
276205609451,0,2880,1773.6